trace_index,call_type,from,to,value_eth,decoded_input
1083,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
1084,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
1085,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1086,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,"uniswapV3SwapCallback(int256=13495950296951538605,int256=-19400000000000,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1087,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=13495950296951538605)"
1088,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1089,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,"swap(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,bool=false,int256=19403880776155,uint160=1461446703485210103287273052203988822378723970341,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1090,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=13493251106889449889)"
1091,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1092,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1093,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,"uniswapV3SwapCallback(int256=-13493251106889449889,int256=19403880776155,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1094,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=19403880776155)"
1095,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=19403880776155)"
1096,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1097,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1098,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,"swap(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,bool=true,int256=-19400000000000,uint160=4295128740,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1099,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
1100,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
1101,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1102,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,"uniswapV3SwapCallback(int256=13495950298742023753,int256=-19400000000000,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1103,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=13495950298742023753)"
1104,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
1105,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,"swap(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,bool=false,int256=19403880776155,uint160=1461446703485210103287273052203988822378723970341,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
1106,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=13493251108679576939)"
